exam_year_roc,paper_code,paper_title,subject_primary,subsubject_primary,question_type,question_count,first_question,last_question,total_points
112,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,35,1,35,70.0
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10,16,25,20.0
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15,1,15,30.0
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10,46,55,20.0
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15,56,70,30.0
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10,26,35,20.0
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10,36,45,20.0
113,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,25,36,60,50.0
113,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,35,1,35,70.0
113,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15,61,75,30.0
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10,56,65,20.0
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10,66,75,20.0
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,20,1,20,40.0
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,35,21,55,70.0
113,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,30,51,80,60.0
113,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,single_choice,15,36,50,30.0
113,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,35,1,35,70.0
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10,16,25,20.0
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15,1,15,30.0
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10,46,55,20.0
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15,56,70,30.0
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10,26,35,20.0
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10,36,45,20.0
114,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,25,36,60,50.0
114,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,35,1,35,70.0
114,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15,61,75,30.0
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10,56,65,20.0
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10,66,75,20.0
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,20,1,20,40.0
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,35,21,55,70.0
114,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,30,51,80,60.0
114,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,single_choice,15,36,50,30.0
114,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,35,1,35,70.0
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10,16,25,20.0
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15,1,15,30.0
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10,46,55,20.0
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15,56,70,30.0
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10,26,35,20.0
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10,36,45,20.0
